r_no	u_no	r_date	r_start	r_end	r_time	r_car	r_seat
1	110	2025-01-01	57	45	8:45	2	A10
2	123	2025-01-01	50	46	19:30	4	D07
3	156	2025-01-01	41	38	20:00	2	A08
4	161	2025-01-01	72	71	14:00	1	A01
5	184	2025-01-01	62	40	15:15	4	B06
6	207	2025-01-01	64	68	14:00	3	B02
7	245	2025-01-01	46	33	22:00	10	A04
8	294	2025-01-01	88	90	10:00	3	A05
9	377	2025-01-01	34	37	16:00	10	B05
10	378	2025-01-01	36	37	23:00	4	D09
11	417	2025-01-01	54	39	20:45	7	B09
12	472	2025-01-01	50	38	16:15	1	B10
13	486	2025-01-01	87	90	10:00	2	C10
14	487	2025-01-01	1	15	7:00	9	B07
15	50	2025-01-02	87	90	14:00	4	A02
16	147	2025-01-02	90	89	10:00	3	B07
17	173	2025-01-02	4	5	12:00	1	A06
18	198	2025-01-02	47	41	13:45	2	A08
19	198	2025-01-02	89	88	14:00	4	C05
20	238	2025-01-02	78	82	10:00	4	B04
21	244	2025-01-02	57	32	21:00	7	B02
22	327	2025-01-02	56	38	14:15	1	A07
23	361	2025-01-02	90	88	18:00	1	A07
24	366	2025-01-02	14	8	22:00	6	B09
25	418	2025-01-02	38	42	12:00	8	C03
26	442	2025-01-02	45	40	15:00	3	A05
27	456	2025-01-02	84	80	14:00	4	B05
28	1	2025-01-03	62	34	19:00	8	A04
29	85	2025-01-03	65	69	16:00	6	C03
30	89	2025-01-03	35	40	18:00	9	B01
31	103	2025-01-03	91	87	14:00	1	A03
32	127	2025-01-03	40	34	20:00	10	A04
33	201	2025-01-03	55	45	19:00	3	C02
34	207	2025-01-03	88	91	14:00	1	C06
35	217	2025-01-03	72	70	10:00	8	B07
36	267	2025-01-03	36	42	14:00	10	C10
37	298	2025-01-03	75	66	12:00	8	A05
38	380	2025-01-03	57	41	13:15	1	A05
39	386	2025-01-03	26	31	7:00	4	A05
40	386	2025-01-03	76	73	12:00	3	C01
41	419	2025-01-03	82	83	14:00	3	B01
42	92	2025-01-04	69	72	20:00	5	A02
