s_no	s_code	i_no
1	10100	1
2	10200	2
3	10300	3
4	10400	4
5	10500	5
6	10512	6
7	10511	7
8	10600	8
9	10700	9
10	10711	10
11	10800	11
12	10811	12
13	10812	13
14	10900	14
15	10911	15
16	10912	16
17	11000	17
18	20100	1
19	20200	18
20	20300	4
21	20400	7
22	20500	6
23	20511	19
24	20521	20
25	20522	21
26	20523	22
27	20600	23
28	20700	24
29	20800	25
30	20900	26
31	21000	27
32	30100	1
33	30200	2
34	30300	4
35	30400	7
36	30500	6
37	30600	8
38	30700	9
39	30710	10
40	30800	11
41	30900	12
42	31000	28
43	31100	29
44	31200	30
45	31300	31
46	31400	32
47	40100	1
48	40200	18
49	40300	4
50	40400	7
51	40500	6
52	40511	19
53	40521	20
54	40522	21
55	40523	22
56	40600	23
57	40700	32
58	40800	33
59	40900	34
60	41000	35
61	41100	36
62	41200	37
63	41300	38
64	50100	1
65	50200	2
66	50300	39
67	50400	40
68	50500	41
69	50600	42
70	50700	43
71	50800	44
72	50900	45
73	51000	46
74	51100	47
75	51211	48
76	51212	49
77	51213	50
78	60100	39
79	60200	41
80	60300	51
81	60400	52
82	60500	53
83	60600	54
84	60700	55
85	60800	56
86	60900	57
87	70100	58
88	70200	59
89	70300	60
90	70400	61
91	70500	62
